l_english:
 ZHX_GUI_DEBATE_HEADER:0 "天下大辩"
 zhx_debate.20.d.fa:0 "法家提案严格领先其余选择，成为本届天下显学。周天下将更重视成约执行、停止内战和对外胜利；有能力贯彻共同裁决的国家将更容易获得盟功。\n\n第一提案：§Y[Root.zhx_tianxia_debate_a_count.GetValue]§!　第二提案：§Y[Root.zhx_tianxia_debate_b_count.GetValue]§!　百家并立：§Y[Root.zhx_tianxia_debate_plural_count.GetValue]§!"
 zhx_debate.20.d.mo:0 "墨家提案严格领先其余选择，成为本届天下显学。天下和平与制止诸侯内战将获得更高评价，单纯击败域外国家不再足以证明攻伐正当。\n\n第一提案：§Y[Root.zhx_tianxia_debate_a_count.GetValue]§!　第二提案：§Y[Root.zhx_tianxia_debate_b_count.GetValue]§!　百家并立：§Y[Root.zhx_tianxia_debate_plural_count.GetValue]§!"
 zhx_debate.20.d.plural:0 "没有任何一家同时严格领先另外两种选择，周天下因而承认百家并立。各国可以继续用不同学说解释盟约，思想更为活跃，但共同规则不会特别奖励任何一家的战争或秩序观。\n\n第一提案：§Y[Root.zhx_tianxia_debate_a_count.GetValue]§!　第二提案：§Y[Root.zhx_tianxia_debate_b_count.GetValue]§!　百家并立：§Y[Root.zhx_tianxia_debate_plural_count.GetValue]§!"
 zhx_debate.20.a:0 "此议通行天下"
 zhx_debate_result_tt:0 "大辩结果固定十五年。支持胜出结果的诸侯获得盟功；各国国内国论和省份宗教均保持不变。"

 zhx_debate.30.t:0 "天下显学与国际准则"
 zhx_debate.30.d.ru:0 "§Y当前天下显学：儒家§!\n\n周天下完全和平时，礼乐值每年额外+1；发生诸侯内战时额外-1。周天下成员击败域外战争领袖时，礼乐值+3，胜方另得2盟功。\n\n这套规则只评价列国之间的行为，不会替换本国国论。"
 zhx_debate.30.d.fa:0 "§Y当前天下显学：法家§!\n\n没有诸侯内战时，礼乐值每年额外+1；三场或更多内战时额外-2。周天下成员击败域外战争领袖时，礼乐值+5，胜方另得3盟功。\n\n这套规则只评价列国之间的行为，不会替换本国国论。"
 zhx_debate.30.d.mo:0 "§Y当前天下显学：墨家§!\n\n周天下完全和平时，礼乐值每年额外+2；发生诸侯内战时额外-2。周天下国家击败域外战争领袖时只使礼乐值+1，不因胜利本身获得盟功。\n\n这套规则只评价列国之间的行为，不会替换本国国论。"
 zhx_debate.30.d.plural:0 "§Y当前状态：百家并立§!\n\n周天下不额外采用某一家对和平或内战的评价。周天下成员击败域外战争领袖时，礼乐值+2，胜方获得1盟功。\n\n各国仍可坚持彼此不同的国内国论。"
 zhx_debate.30.d.none:0 "§Y当前尚无天下显学§!\n\n至少两家学说分别拥有践履达到70的周天下国家后，天子将在年度检查中召开第一次天下大辩。首次结果产生前，对外战争胜利继续沿用原有的礼乐值+5规则。"
 zhx_debate.30.a:0 "国论各异，天下共议"
 zhx_debate.90.t:0 "天下大辩年度检查"
 zhx_debate.90.d:0 "天下大辩的提案资格与十五年任期已经检查。"

 zhx_review_tianxia_orthodoxy_title:0 "查看天下显学"
 zhx_review_tianxia_orthodoxy_desc:0 "查看当前天下显学及其对和平、诸侯内战、域外战争胜利、盟功和礼乐值的影响。天下显学不会改变本国国内国论。"
 zhx_debug_convene_tianxia_debate_title:0 "§T调试：召开天下大辩§!"
 zhx_debug_convene_tianxia_debate_desc:0 "立即检查提案资格并召开天下大辩，忽略十五年任期；仍要求至少两家学说各有践履达到70的周天下实践国。"
 zhx_tianxia_debate_cooldown:0 "天下显学任期"
 zhx_tianxia_debate_cooldown_desc:0 "上一届天下大辩的结果仍在十五年通行期内。各国国内国论不受该任期限制。"
